family,designation,source_row_id,source_edition,source_edition_count,catalog_scope
2L,2L3X2-1/2X3/8SLBB,1479,15th,5,modern
2L,2L3X2-1/2X3/8X3/4SLBB,1481,15th,5,modern
2L,2L3X2-1/2X3/8X3/8SLBB,1480,15th,5,modern
2L,2L3X2-1/2X5/16SLBB,1482,15th,4,modern
2L,2L3X2-1/2X5/16X3/4SLBB,1484,15th,4,modern
2L,2L3X2-1/2X5/16X3/8SLBB,1483,15th,4,modern
2L,2L3X2-1/2X7/16SLBB,1476,15th,4,modern
2L,2L3X2-1/2X7/16X3/4SLBB,1478,15th,4,modern
2L,2L3X2-1/2X7/16X3/8SLBB,1477,15th,4,modern
2L,2L3X2.5X0.1875,11294,LRFD1,4,modern
2L,2L3X2.5X0.25,11293,LRFD1,4,modern
2L,2L3X2.5X0.3125,13657,ASD7,1,modern
2L,2L3X2.5X0.375,11292,LRFD1,4,modern
2L,2L3X2.5X0.4375,13655,ASD7,1,modern
2L,2L3X2.5X0.5,13654,ASD7,1,modern
2L,2L3X2X0.1875,11299,LRFD1,4,modern
2L,2L3X2X0.25,11298,LRFD1,4,modern
2L,2L3X2X0.3125,11297,LRFD1,4,modern
2L,2L3X2X0.375,11296,LRFD1,4,modern
2L,2L3X2X0.4375,13661,ASD7,1,modern
2L,2L3X2X0.5,13660,ASD7,1,modern
2L,2L3X2X1/2SLBB,1491,15th,4,modern
2L,2L3X2X1/2X3/4SLBB,1493,15th,4,modern
2L,2L3X2X1/2X3/8SLBB,1492,15th,4,modern
2L,2L3X2X1/4SLBB,1500,15th,5,modern
2L,2L3X2X1/4X3/4SLBB,1502,15th,5,modern
2L,2L3X2X1/4X3/8SLBB,1501,15th,5,modern
2L,2L3X2X3/16SLBB,1503,15th,5,modern
2L,2L3X2X3/16X3/4SLBB,1505,15th,5,modern
2L,2L3X2X3/16X3/8SLBB,1504,15th,5,modern
2L,2L3X2X3/8SLBB,1494,15th,5,modern
2L,2L3X2X3/8X3/4SLBB,1496,15th,5,modern
2L,2L3X2X3/8X3/8SLBB,1495,15th,5,modern
2L,2L3X2X5/16SLBB,1497,15th,5,modern
2L,2L3X2X5/16X3/4SLBB,1499,15th,5,modern
2L,2L3X2X5/16X3/8SLBB,1498,15th,5,modern
2L,2L3X3X0.25,11230,LRFD1,4,modern
2L,2L3X3X0.3125,11229,LRFD1,4,modern
2L,2L3X3X0.375,11228,LRFD1,4,modern
2L,2L3X3X0.4375,13820,ASD7,1,modern
2L,2L3X3X0.5,11227,LRFD1,4,modern
2L,2L3X3X1/2,1020,15th,5,modern
2L,2L3X3X1/2X3/4,1022,15th,5,modern
2L,2L3X3X1/2X3/8,1021,15th,5,modern
2L,2L3X3X1/4,1032,15th,5,modern
2L,2L3X3X1/4X3/4,1034,15th,5,modern
2L,2L3X3X1/4X3/8,1033,15th,5,modern
2L,2L3X3X3/16,1035,15th,5,modern
2L,2L3X3X3/16X3/4,1037,15th,5,modern
2L,2L3X3X3/16X3/8,1036,15th,5,modern
2L,2L3X3X3/8,1026,15th,5,modern
2L,2L3X3X3/8X3/4,1028,15th,5,modern
2L,2L3X3X3/8X3/8,1027,15th,5,modern
2L,2L3X3X5/16,1029,15th,5,modern
2L,2L3X3X5/16X3/4,1031,15th,5,modern
2L,2L3X3X5/16X3/8,1030,15th,5,modern
2L,2L3X3X7/16,1023,15th,4,modern
2L,2L3X3X7/16X3/4,1025,15th,4,modern
2L,2L3X3X7/16X3/8,1024,15th,4,modern
2L,2L4X3-1/2X1/2SLBB,1419,15th,5,modern
2L,2L4X3-1/2X1/2X3/4SLBB,1421,15th,5,modern
2L,2L4X3-1/2X1/2X3/8SLBB,1420,15th,5,modern
2L,2L4X3-1/2X1/4SLBB,1428,15th,5,modern
2L,2L4X3-1/2X1/4X3/4SLBB,1430,15th,5,modern
2L,2L4X3-1/2X1/4X3/8SLBB,1429,15th,5,modern
2L,2L4X3-1/2X3/8SLBB,1422,15th,5,modern
2L,2L4X3-1/2X3/8X3/4SLBB,1424,15th,5,modern
2L,2L4X3-1/2X3/8X3/8SLBB,1423,15th,5,modern
2L,2L4X3-1/2X5/16SLBB,1425,15th,5,modern
2L,2L4X3-1/2X5/16X3/4SLBB,1427,15th,5,modern
2L,2L4X3-1/2X5/16X3/8SLBB,1426,15th,5,modern
2L,2L4X3.5X0.25,11277,LRFD1,4,modern
2L,2L4X3.5X0.3125,11276,LRFD1,4,modern
2L,2L4X3.5X0.375,11275,LRFD1,4,modern
2L,2L4X3.5X0.4375,13634,ASD7,1,modern
2L,2L4X3.5X0.5,11274,LRFD1,4,modern
2L,2L4X3.5X0.625,13632,ASD7,1,modern
2L,2L4X3X0.25,11282,LRFD1,4,modern
2L,2L4X3X0.3125,11281,LRFD1,4,modern
2L,2L4X3X0.375,11280,LRFD1,4,modern
2L,2L4X3X0.4375,13640,ASD7,1,modern
2L,2L4X3X0.5,11279,LRFD1,4,modern
2L,2L4X3X0.625,13638,ASD7,1,modern
2L,2L4X3X1/2SLBB,1434,15th,5,modern
2L,2L4X3X1/2X3/4SLBB,1436,15th,5,modern
2L,2L4X3X1/2X3/8SLBB,1435,15th,5,modern
2L,2L4X3X1/4SLBB,1443,15th,5,modern
2L,2L4X3X1/4X3/4SLBB,1445,15th,5,modern
2L,2L4X3X1/4X3/8SLBB,1444,15th,5,modern
2L,2L4X3X3/8SLBB,1437,15th,5,modern
2L,2L4X3X3/8X3/4SLBB,1439,15th,5,modern
2L,2L4X3X3/8X3/8SLBB,1438,15th,5,modern
2L,2L4X3X5/16SLBB,1440,15th,5,modern
2L,2L4X3X5/16X3/4SLBB,1442,15th,5,modern
2L,2L4X3X5/16X3/8SLBB,1441,15th,5,modern
2L,2L4X3X5/8SLBB,1431,15th,4,modern
2L,2L4X3X5/8X3/4SLBB,1433,15th,4,modern
2L,2L4X3X5/8X3/8SLBB,1432,15th,4,modern
2L,2L4X4X0.25,11221,LRFD1,4,modern
2L,2L4X4X0.3125,11220,LRFD1,4,modern
2L,2L4X4X0.375,11219,LRFD1,4,modern
2L,2L4X4X0.4375,13810,ASD7,1,modern
2L,2L4X4X0.5,11218,LRFD1,4,modern
2L,2L4X4X0.625,11217,LRFD1,4,modern
2L,2L4X4X0.75,11216,LRFD1,4,modern
2L,2L4X4X1/2,990,15th,5,modern
2L,2L4X4X1/2X3/4,992,15th,5,modern
2L,2L4X4X1/2X3/8,991,15th,5,modern
2L,2L4X4X1/4,1002,15th,5,modern
2L,2L4X4X1/4X3/4,1004,15th,5,modern
2L,2L4X4X1/4X3/8,1003,15th,5,modern
2L,2L4X4X3/4,984,15th,5,modern
2L,2L4X4X3/4X3/4,986,15th,5,modern
2L,2L4X4X3/4X3/8,985,15th,5,modern
2L,2L4X4X3/8,996,15th,5,modern
2L,2L4X4X3/8X3/4,998,15th,5,modern
2L,2L4X4X3/8X3/8,997,15th,5,modern
2L,2L4X4X5/16,999,15th,5,modern
2L,2L4X4X5/16X3/4,1001,15th,5,modern
2L,2L4X4X5/16X3/8,1000,15th,5,modern
2L,2L4X4X5/8,987,15th,5,modern
2L,2L4X4X5/8X3/4,989,15th,5,modern
2L,2L4X4X5/8X3/8,988,15th,5,modern
2L,2L4X4X7/16,993,15th,4,modern
2L,2L4X4X7/16X3/4,995,15th,4,modern
2L,2L4X4X7/16X3/8,994,15th,4,modern
2L,2L5X3-1/2X1/2SLBB,1392,15th,5,modern
2L,2L5X3-1/2X1/2X3/4SLBB,1394,15th,5,modern
2L,2L5X3-1/2X1/2X3/8SLBB,1393,15th,5,modern
2L,2L5X3-1/2X1/4SLBB,1401,15th,4,modern
2L,2L5X3-1/2X1/4X3/4SLBB,1403,15th,4,modern
